stateName,agencyName,year,totalSpending,prevTotalSpending,yoyPCT
Alaska,Environmental Protection Agency,2018,97550038.89,NULL,NULL
Alaska,Environmental Protection Agency,2019,103842810.7,97550038.89,6.450814
Alaska,Environmental Protection Agency,2020,88128882.41,103842810.7,-15.132418
Alaska,Environmental Protection Agency,2021,120377757.1,88128882.41,36.592855
Alaska,Environmental Protection Agency,2022,110296690.9,120377757.1,-8.374525
Alaska,Environmental Protection Agency,2023,212866336,110296690.9,92.994308
Alaska,Environmental Protection Agency,2024,357555385.6,212866336,67.971785
Alaska,Environmental Protection Agency,2025,515847456.3,357555385.6,44.270643
Alaska,Equal Employment Opportunity Commission,2019,105300,NULL,NULL
Alaska,Equal Employment Opportunity Commission,2020,243600,105300,131.339031
Alaska,Equal Employment Opportunity Commission,2021,192000,243600,-21.182266
Alaska,Equal Employment Opportunity Commission,2022,229559.59,192000,19.562286
Alaska,Equal Employment Opportunity Commission,2023,238950,229559.59,4.090619
Alaska,Equal Employment Opportunity Commission,2024,180484.89,238950,-24.467507
Alaska,Equal Employment Opportunity Commission,2025,104245.91,180484.89,-42.241198
Alaska,Executive Office of the President,2025,2512000,NULL,NULL
Alaska,Export-Import Bank of the United States,2025,0,NULL,NULL
Alaska,Federal Communications Commission,2020,2322913477,NULL,NULL
Alaska,Federal Communications Commission,2021,384537447.9,2322913477,-83.445898
Alaska,Federal Communications Commission,2022,594721319.5,384537447.9,54.658882
Alaska,Federal Communications Commission,2023,351016743.8,594721319.5,-40.977945
Alaska,Federal Communications Commission,2024,348312931.3,351016743.8,-0.77028
Alaska,Federal Communications Commission,2025,161591998.7,348312931.3,-53.607235
Alaska,Federal Election Commission,2018,3034019.76,NULL,NULL
Alaska,Federal Election Commission,2024,74811.23,3034019.76,-97.534253
Alaska,Federal Election Commission,2025,0,74811.23,-100
Alaska,Institute of Museum and Library Services,2019,2388806.91,NULL,NULL
Alaska,Institute of Museum and Library Services,2020,2903483.67,2388806.91,21.545347
Alaska,Institute of Museum and Library Services,2021,5347895.14,2903483.67,84.188917
Alaska,Institute of Museum and Library Services,2022,3324552.18,5347895.14,-37.834379
Alaska,Institute of Museum and Library Services,2023,3205004.24,3324552.18,-3.595911
Alaska,Institute of Museum and Library Services,2024,3348613.21,3205004.24,4.480773
Alaska,Institute of Museum and Library Services,2025,5121560.79,3348613.21,52.945726
Alaska,National Aeronautics and Space Administration,2019,17889592.53,NULL,NULL
Alaska,National Aeronautics and Space Administration,2020,18919580.03,17889592.53,5.757467
Alaska,National Aeronautics and Space Administration,2021,20836131.15,18919580.03,10.129987
Alaska,National Aeronautics and Space Administration,2022,24625088.83,20836131.15,18.184554
Alaska,National Aeronautics and Space Administration,2023,24856658.05,24625088.83,0.940379
Alaska,National Aeronautics and Space Administration,2024,23545704.92,24856658.05,-5.274052
Alaska,National Aeronautics and Space Administration,2025,23886859.23,23545704.92,1.448902
Alaska,National Archives and Records Administration,2022,7945243.2,NULL,NULL
Alaska,National Archives and Records Administration,2023,19016984.14,7945243.2,139.35056
Alaska,National Archives and Records Administration,2024,0,19016984.14,-100
Alaska,National Archives and Records Administration,2025,0,0,NULL
Alaska,National Credit Union Administration,2019,20000,NULL,NULL
Alaska,National Credit Union Administration,2021,50000,20000,150
Alaska,National Endowment for the Arts,2019,956500,NULL,NULL
Alaska,National Endowment for the Arts,2020,1837463,956500,92.10277
Alaska,National Endowment for the Arts,2021,1922807,1837463,4.644664
Alaska,National Endowment for the Arts,2022,2311578,1922807,20.218929
Alaska,National Endowment for the Arts,2023,1146277.59,2311578,-50.411468
Alaska,National Endowment for the Arts,2024,1339667.53,1146277.59,16.871126
Alaska,National Endowment for the Arts,2025,939559.4,1339667.53,-29.866225
Alaska,National Endowment for the Humanities,2019,1381779.98,NULL,NULL
Alaska,National Endowment for the Humanities,2020,3340022,1381779.98,141.7188
Alaska,National Endowment for the Humanities,2021,1632416.51,3340022,-51.125576
Alaska,National Endowment for the Humanities,2022,1814001,1632416.51,11.123661
Alaska,National Endowment for the Humanities,2023,1471029.07,1814001,-18.906931
Alaska,National Endowment for the Humanities,2024,1448357.34,1471029.07,-1.541215
Alaska,National Endowment for the Humanities,2025,645373,1448357.34,-55.441037
Alaska,National Science Foundation,2019,61644604,NULL,NULL
Alaska,National Science Foundation,2020,60028580,61644604,-2.621517
Alaska,National Science Foundation,2021,54592158.04,60028580,-9.056389
Alaska,National Science Foundation,2022,54012058,54592158.04,-1.062606
Alaska,National Science Foundation,2023,61477500.91,54012058,13.821807
Alaska,National Science Foundation,2024,46718613.21,61477500.91,-24.006974
Alaska,National Science Foundation,2025,56397109.44,46718613.21,20.716574
Alaska,National Transportation Safety Board,2019,18246.76,NULL,NULL
Alaska,National Transportation Safety Board,2020,8328.81,18246.76,-54.354581
Alaska,National Transportation Safety Board,2021,7536.84,8328.81,-9.508801
Alaska,National Transportation Safety Board,2022,0,7536.84,-100
Alaska,National Transportation Safety Board,2023,26375,0,NULL
Alaska,National Transportation Safety Board,2025,8639.88,26375,-67.242161
Alaska,Nuclear Regulatory Commission,2020,0,NULL,NULL
Alaska,Nuclear Regulatory Commission,2021,0,0,NULL
Alaska,Nuclear Regulatory Commission,2022,250000,0,NULL
Alaska,Nuclear Regulatory Commission,2023,0,250000,-100
Alaska,Nuclear Regulatory Commission,2025,0,0,NULL
